viewer,title,rating
u007,Monty Python and the Holy Grail (1975),4.0
u007,One Flew Over the Cuckoo's Nest (1975),4.0
u007,"Princess Bride, The (1987)",4.0
u007,Reservoir Dogs (1992),4.0
u007,Schindler's List (1993),4.0
u007,"Shawshank Redemption, The (1994)",4.0
u007,Taxi Driver (1976),4.5
u007,"Usual Suspects, The (1995)",4.0
u007,WALL·E (2008),4.0
u008,Alien (1979),4.0
u008,American Beauty (1999),4.0
u008,Babe (1995),4.0
u008,Back to the Future (1985),4.0
u008,Blade Runner (1982),4.0
u008,E.T. the Extra-Terrestrial (1982),5.0
u008,Fight Club (1999),5.0
u008,"Fugitive, The (1993)",4.0
u008,Groundhog Day (1993),4.0
u008,Indiana Jones and the Last Crusade (1989),5.0
u008,L.A. Confidential (1997),4.0
u008,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.0
u008,"Matrix, The (1999)",4.0
u008,One Flew Over the Cuckoo's Nest (1975),4.0
u008,"Princess Bride, The (1987)",5.0
u008,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0
u008,"Sixth Sense, The (1999)",4.0
u008,Speed (1994),4.0
u008,Star Wars: Episode IV - A New Hope (1977),4.0
u008,Star Wars: Episode V - The Empire Strikes Back (1980),4.0
u008,Terminator 2: Judgment Day (1991),5.0
u008,"Terminator, The (1984)",4.0
u008,Toy Story (1995),4.0
u008,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.0
u008,Willy Wonka & the Chocolate Factory (1971),4.0
u009,Aladdin (1992),4.0
u009,Back to the Future (1985),5.0
u009,"Bourne Identity, The (2002)",4.0
u009,Forrest Gump (1994),4.5
u009,Indiana Jones and the Last Crusade (1989),4.0
u009,Jurassic Park (1993),4.0
u009,"Lion King, The (1994)",4.0
u009,"Matrix, The (1999)",4.0
u009,Men in Black (a.k.a. MIB) (1997),4.5
u009,Mission: Impossible (1996),4.5
u009,Ocean's Eleven (2001),4.5
u009,Pirates of the Caribbean: The Curse of the Black Pearl (2003),4.0
u009,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.0
u009,Shrek (2001),4.0
u009,Star Wars: Episode IV - A New Hope (1977),4.5
u009,Star Wars: Episode V - The Empire Strikes Back (1980),4.5
u009,Star Wars: Episode VI - Return of the Jedi (1983),4.5
u010,"Bourne Identity, The (2002)",4.0
u010,"Dark Knight, The (2008)",4.0
u010,Fargo (1996),4.0
u010,Forrest Gump (1994),4.5
u010,Gladiator (2000),4.0
u010,Good Will Hunting (1997),4.0
u010,"Green Mile, The (1999)",4.5
u010,Groundhog Day (1993),4.5
u010,Inception (2010),4.0
u010,"Matrix, The (1999)",4.0
u010,Men in Black (a.k.a. MIB) (1997),4.0
u010,"Princess Bride, The (1987)",4.0
u010,Pulp Fiction (1994),4.0
u010,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.5
u010,Saving Private Ryan (1998),4.0
u010,"Shawshank Redemption, The (1994)",4.5
u010,"Silence of the Lambs, The (1991)",4.5
u010,"Usual Suspects, The (1995)",4.0
u011,Babe (1995),5.0
u011,Back to the Future (1985),5.0
u011,Beauty and the Beast (1991),4.0
u011,Dances with Wolves (1990),4.0
u011,E.T. the Extra-Terrestrial (1982),5.0
u011,Forrest Gump (1994),5.0
u011,Jurassic Park (1993),4.0
u011,"Lion King, The (1994)",4.0
u011,Mission: Impossible (1996),4.0
u011,"Princess Bride, The (1987)",5.0
u011,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0
u011,Star Wars: Episode IV - A New Hope (1977),4.0
u011,Star Wars: Episode V - The Empire Strikes Back (1980),4.0
u011,Star Wars: Episode VI - Return of the Jedi (1983),4.0
u012,Aliens (1986),4.0
u012,American Beauty (1999),4.0
u012,Batman Begins (2005),4.5
u012,Blade Runner (1982),4.0
u012,Dances with Wolves (1990),4.0
u012,Donnie Darko (2001),4.0
u012,Forrest Gump (1994),4.0
u012,Full Metal Jacket (1987),4.0
u012,Gladiator (2000),4.0
u012,"Godfather, The (1972)",4.5
u012,"Godfather: Part II, The (1974)",4.0
u012,Goodfellas (1990),4.0
u012,Kill Bill: Vol. 1 (2003),4.0
u012,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.5
u012,"Matrix, The (1999)",4.0
u012,Pulp Fiction (1994),4.5
u012,Star Wars: Episode IV - A New Hope (1977),4.0
u012,Star Wars: Episode V - The Empire Strikes Back (1980),4.0
u012,Star Wars: Episode VI - Return of the Jedi (1983),4.0
u012,Terminator 2: Judgment Day (1991),4.5
u012,"Terminator, The (1984)",4.5
u012,WALL·E (2008),4.0
u013,2001: A Space Odyssey (1968),5.0
u013,Apocalypse Now (1979),4.0
u013,Apollo 13 (1995),4.0
u013,Back to the Future (1985),4.0
u013,"Departed, The (2006)",4.5
u013,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.5
u013,Forrest Gump (1994),4.5
u013,Full Metal Jacket (1987),4.0
u013,Gladiator (2000),5.0
u013,"Godfather, The (1972)",4.5
u013,Goodfellas (1990),4.0
u013,Independence Day (a.k.a. ID4) (1996),4.0
u013,L.A. Confidential (1997),5.0
u013,Monty Python and the Holy Grail (1975),4.0
u013,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.5
u013,Saving Private Ryan (1998),5.0
u013,"Shawshank Redemption, The (1994)",4.5
u014,Batman Begins (2005),5.0
u014,Braveheart (1995),5.0
u014,"Dark Knight, The (2008)",5.0
u014,Die Hard (1988),4.0
u014,Inception (2010),5.0
u014,Indiana Jones and the Last Crusade (1989),5.0
u014,"Lord of the Rings: The Fellowship of the Ring, The (2001)",5.0
u014,"Lord of the Rings: The Return of the King, The (2003)",5.0
u014,"Lord of the Rings: The Two Towers, The (2002)",5.0
u014,"Matrix, The (1999)",5.0
u014,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0
u014,"Shawshank Redemption, The (1994)",5.0
u014,Star Wars: Episode IV - A New Hope (1977),5.0
u014,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
u014,Star Wars: Episode VI - Return of the Jedi (1983),5.0
u014,WALL·E (2008),5.0
u015,Aladdin (1992),5.0
u015,Braveheart (1995),5.0
u015,Fargo (1996),4.0
u015,Forrest Gump (1994),5.0
u015,"Fugitive, The (1993)",5.0
u015,Good Will Hunting (1997),5.0
u015,L.A. Confidential (1997),5.0
u015,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.0
u015,"Matrix, The (1999)",5.0
u015,Pulp Fiction (1994),5.0
u015,Saving Private Ryan (1998),5.0
u015,Schindler's List (1993),5.0
u015,"Shawshank Redemption, The (1994)",4.0
u015,"Silence of the Lambs, The (1991)",5.0
u015,"Sixth Sense, The (1999)",4.0
u015,Star Wars: Episode VI - Return of the Jedi (1983),5.0
u015,Terminator 2: Judgment Day (1991),4.0
u015,Trainspotting (1996),4.0
u015,"Truman Show, The (1998)",4.0
u015,"Usual Suspects, The (1995)",5.0
u016,Aladdin (1992),4.0
u016,Alien (1979),5.0
u016,Aliens (1986),5.0
u016,American Beauty (1999),5.0
u016,Back to the Future (1985),4.0
u016,Die Hard (1988),4.0
u016,E.T. the Extra-Terrestrial (1982),4.0
u016,Fargo (1996),5.0
u016,"Fugitive, The (1993)",4.0
u016,"Godfather, The (1972)",4.0
u016,"Godfather: Part II, The (1974)",5.0
u016,Goodfellas (1990),4.0
u016,Indiana Jones and the Last Crusade (1989),5.0
u016,"Lion King, The (1994)",4.0
u016,"Matrix, The (1999)",5.0
u016,Monty Python and the Holy Grail (1975),4.0
u016,"Princess Bride, The (1987)",5.0
u016,Pulp Fiction (1994),5.0
u016,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.0
u016,Reservoir Dogs (1992),5.0
u016,"Shining, The (1980)",5.0
u016,"Silence of the Lambs, The (1991)",5.0
u016,"Sixth Sense, The (1999)",5.0
u016,Star Wars: Episode IV - A New Hope (1977),5.0
u016,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
u016,Star Wars: Episode VI - Return of the Jedi (1983),5.0
u016,Terminator 2: Judgment Day (1991),4.0
u016,"Usual Suspects, The (1995)",5.0
u017,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.0
u017,American Beauty (1999),4.0
u017,American History X (1998),4.0
u017,Beauty and the Beast (1991),4.0
u017,Catch Me If You Can (2002),4.0
u017,"Clockwork Orange, A (1971)",5.0
u017,Donnie Darko (2001),5.0
u017,Eternal Sunshine of the Spotless Mind (2004),4.0
u017,Fargo (1996),4.0
u017,Fight Club (1999),4.0
u017,Finding Nemo (2003),4.0
u017,Gladiator (2000),4.0
u017,Kill Bill: Vol. 1 (2003),5.0
u017,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.0
u017,Memento (2000),4.0
u017,Pulp Fiction (1994),5.0
u017,"Shining, The (1980)",5.0
u017,"Silence of the Lambs, The (1991)",4.0
u017,Trainspotting (1996),4.0
u018,2001: A Space Odyssey (1968),5.0
u018,American History X (1998),5.0
u018,Apollo 13 (1995),5.0
u018,Back to the Future (1985),4.0
u018,Braveheart (1995),4.0
u018,Casablanca (1942),5.0
u018,Dances with Wolves (1990),4.0
u018,Die Hard (1988),4.0
u018,E.T. the Extra-Terrestrial (1982),4.0
u018,Forrest Gump (1994),5.0
u018,"Fugitive, The (1993)",4.0
u018,Full Metal Jacket (1987),5.0
u018,"Godfather, The (1972)",5.0
u018,"Godfather: Part II, The (1974)",5.0
u018,Good Will Hunting (1997),5.0
u018,Goodfellas (1990),5.0
u018,Groundhog Day (1993),5.0
u018,"Lion King, The (1994)",4.0
u018,"Matrix, The (1999)",5.0
u018,Men in Black (a.k.a. MIB) (1997),4.0
u018,Mission: Impossible (1996),5.0
u018,Office Space (1999),5.0
u018,"Princess Bride, The (1987)",5.0
u018,Pulp Fiction (1994),5.0
u018,Reservoir Dogs (1992),5.0
u018,Saving Private Ryan (1998),5.0
u018,Schindler's List (1993),4.0
u018,Seven (a.k.a. Se7en) (1995),4.0
u018,"Shawshank Redemption, The (1994)",4.0
u018,"Silence of the Lambs, The (1991)",5.0
u018,Star Wars: Episode IV - A New Hope (1977),5.0
u018,Star Wars: Episode VI - Return of the Jedi (1983),5.0
u018,"Usual Suspects, The (1995)",5.0
u019,Aladdin (1992),5.0
u019,Apollo 13 (1995),5.0
u019,Babe (1995),5.0
u019,Beauty and the Beast (1991),5.0
u019,Dances with Wolves (1990),4.0
u019,Forrest Gump (1994),5.0
u019,"Fugitive, The (1993)",5.0
u019,Jurassic Park (1993),4.0
u019,"Lion King, The (1994)",5.0
u019,Mission: Impossible (1996),5.0
u019,Seven (a.k.a. Se7en) (1995),4.0
u019,"Shawshank Redemption, The (1994)",4.0
u019,Terminator 2: Judgment Day (1991),5.0
u019,Toy Story (1995),5.0
u019,Willy Wonka & the Chocolate Factory (1971),5.0
u020,Aladdin (1992),5.0
u020,Apollo 13 (1995),4.0
u020,"Bourne Identity, The (2002)",5.0
u020,"Dark Knight, The (2008)",5.0
u020,"Departed, The (2006)",4.0
u020,Fight Club (1999),4.5
u020,Forrest Gump (1994),5.0
u020,Good Will Hunting (1997),5.0
u020,Inception (2010),5.0
u020,"Incredibles, The (2004)",4.0
u020,Kill Bill: Vol. 1 (2003),4.5
u020,"Lion King, The (1994)",5.0
u020,"Lord of the Rings: The Return of the King, The (2003)",5.0
u020,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.0
u020,"Matrix, The (1999)",5.0
u020,"Shawshank Redemption, The (1994)",5.0
u020,Star Wars: Episode IV - A New Hope (1977),4.0
u020,Star Wars: Episode V - The Empire Strikes Back (1980),4.0
u020,Star Wars: Episode VI - Return of the Jedi (1983),5.0
u020,WALL·E (2008),4.0
u021,Aladdin (1992),5.0
u021,Apollo 13 (1995),4.0
u021,Beauty and the Beast (1991),5.0
u021,Braveheart (1995),5.0
u021,Forrest Gump (1994),4.0
u021,"Fugitive, The (1993)",5.0
u021,Independence Day (a.k.a. ID4) (1996),5.0
u021,Jurassic Park (1993),4.0
u021,"Lion King, The (1994)",4.0
u021,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),5.0
u021,Mission: Impossible (1996),5.0
u021,Pulp Fiction (1994),5.0
u021,Schindler's List (1993),5.0
u021,Seven (a.k.a. Se7en) (1995),5.0
u021,"Shawshank Redemption, The (1994)",5.0
u021,Speed (1994),5.0
u021,Terminator 2: Judgment Day (1991),4.0
u021,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),5.0
u021,"Usual Suspects, The (1995)",5.0
u021,Willy Wonka & the Chocolate Factory (1971),5.0
u022,2001: A Space Odyssey (1968),5.0
u022,Apocalypse Now (1979),5.0
u022,Blade Runner (1982),5.0
u022,Casablanca (1942),5.0
u022,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),5.0
u022,E.T. the Extra-Terrestrial (1982),5.0
u022,Fargo (1996),5.0
u022,Full Metal Jacket (1987),5.0
u022,"Godfather, The (1972)",5.0
u022,"Godfather: Part II, The (1974)",4.0
u022,Independence Day (a.k.a. ID4) (1996),4.0
u022,L.A. Confidential (1997),4.0
u022,Mission: Impossible (1996),5.0
u022,Saving Private Ryan (1998),5.0
u022,Schindler's List (1993),5.0
u022,"Silence of the Lambs, The (1991)",5.0
u022,Star Wars: Episode IV - A New Hope (1977),4.0
u022,Star Wars: Episode V - The Empire Strikes Back (1980),4.0
u022,Taxi Driver (1976),5.0
u022,Terminator 2: Judgment Day (1991),4.0
u023,Alien (1979),4.5
u023,Apocalypse Now (1979),4.5
u023,Donnie Darko (2001),4.0
u023,Eternal Sunshine of the Spotless Mind (2004),4.0
u023,Goodfellas (1990),4.0
u023,Kill Bill: Vol. 1 (2003),4.0
u023,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.5
u023,"Lord of the Rings: The Return of the King, The (2003)",4.5
u023,"Lord of the Rings: The Two Towers, The (2002)",4.5
u023,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.5
u023,Memento (2000),4.5
u023,Reservoir Dogs (1992),4.5
u023,"Shawshank Redemption, The (1994)",5.0
u023,"Shining, The (1980)",4.0
u023,"Silence of the Lambs, The (1991)",4.0
u023,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.5
u023,"Usual Suspects, The (1995)",4.5
u024,Aladdin (1992),4.0
u024,American Beauty (1999),5.0
u024,American History X (1998),4.0
u024,Apocalypse Now (1979),5.0
u024,Back to the Future (1985),5.0
u024,"Beautiful Mind, A (2001)",4.0
u024,"Bourne Identity, The (2002)",4.0
u024,Casablanca (1942),4.0
u024,Catch Me If You Can (2002),4.0
u024,"Dark Knight, The (2008)",5.0
u024,"Departed, The (2006)",4.5
u024,Die Hard (1988),4.0
u024,Eternal Sunshine of the Spotless Mind (2004),5.0
u024,Fargo (1996),4.5
u024,Fight Club (1999),5.0
u024,"Godfather, The (1972)",4.0
u024,"Godfather: Part II, The (1974)",4.0
u024,Goodfellas (1990),4.0
u024,Indiana Jones and the Last Crusade (1989),4.0
u024,L.A. Confidential (1997),4.0
u024,"Lion King, The (1994)",4.0
u024,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.0
u024,"Lord of the Rings: The Return of the King, The (2003)",4.0
u024,Mission: Impossible (1996),4.0
u024,Monty Python and the Holy Grail (1975),5.0
u024,Ocean's Eleven (2001),4.0
u024,One Flew Over the Cuckoo's Nest (1975),4.0
u024,Pirates of the Caribbean: The Curse of the Black Pearl (2003),4.0
u024,Pulp Fiction (1994),5.0
u024,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0
u024,Schindler's List (1993),4.0
u024,Seven (a.k.a. Se7en) (1995),4.0
u024,"Shawshank Redemption, The (1994)",5.0
u024,Star Wars: Episode IV - A New Hope (1977),5.0
u024,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
u024,Star Wars: Episode VI - Return of the Jedi (1983),4.5
u024,Terminator 2: Judgment Day (1991),4.0
u024,Toy Story (1995),5.0
u024,Trainspotting (1996),4.0
u024,"Usual Suspects, The (1995)",5.0
u024,WALL·E (2008),4.0
u025,American Beauty (1999),4.0
u025,Back to the Future (1985),4.5
u025,Die Hard (1988),4.0
u025,Fight Club (1999),4.5
u025,Finding Nemo (2003),4.0
u025,Forrest Gump (1994),4.5
u025,Inception (2010),4.0
u025,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),5.0
u025,"Matrix, The (1999)",4.5
u025,Men in Black (a.k.a. MIB) (1997),4.0
u025,"Monsters, Inc. (2001)",4.5
u025,Pirates of the Caribbean: The Curse of the Black Pearl (2003),4.5
u025,Pulp Fiction (1994),4.5
u025,Saving Private Ryan (1998),4.5
u025,"Shawshank Redemption, The (1994)",4.5
u026,American Beauty (1999),5.0
u026,Beauty and the Beast (1991),4.5
u026,"Bourne Identity, The (2002)",4.5
u026,Casablanca (1942),4.5
u026,Dances with Wolves (1990),4.0
u026,"Dark Knight, The (2008)",5.0
u026,Eternal Sunshine of the Spotless Mind (2004),4.5
u026,Finding Nemo (2003),4.5
u026,"Fugitive, The (1993)",4.5
u026,Gladiator (2000),4.0
u026,"Godfather, The (1972)",4.0
u026,Good Will Hunting (1997),4.5
u026,Inception (2010),5.0
u026,Independence Day (a.k.a. ID4) (1996),4.0
u026,Indiana Jones and the Last Crusade (1989),5.0
u026,"Lion King, The (1994)",4.5
u026,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.5
u026,"Lord of the Rings: The Return of the King, The (2003)",4.5
u026,"Lord of the Rings: The Two Towers, The (2002)",4.0
u026,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.0
u026,"Matrix, The (1999)",4.5
u026,Memento (2000),4.0
u026,Men in Black (a.k.a. MIB) (1997),4.0
u026,Mission: Impossible (1996),4.0
u026,"Monsters, Inc. (2001)",4.5
u026,Office Space (1999),5.0
u026,Pirates of the Caribbean: The Curse of the Black Pearl (2003),5.0
u026,"Princess Bride, The (1987)",5.0
u026,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0
u026,Saving Private Ryan (1998),4.0
u026,Schindler's List (1993),4.0
u026,Seven (a.k.a. Se7en) (1995),4.0
u026,Shrek (2001),5.0
u026,Speed (1994),5.0
u026,Star Wars: Episode IV - A New Hope (1977),5.0
u026,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
u026,Star Wars: Episode VI - Return of the Jedi (1983),5.0
u026,"Terminator, The (1984)",4.0
u026,"Truman Show, The (1998)",4.5
u026,WALL·E (2008),4.5
u027,2001: A Space Odyssey (1968),5.0
u027,Blade Runner (1982),5.0
u027,Forrest Gump (1994),4.0
u027,"Matrix, The (1999)",5.0
u027,Men in Black (a.k.a. MIB) (1997),4.0
u027,One Flew Over the Cuckoo's Nest (1975),5.0
u027,Pulp Fiction (1994),5.0
u027,"Shawshank Redemption, The (1994)",5.0
u027,"Shining, The (1980)",5.0
u027,"Silence of the Lambs, The (1991)",5.0
u027,"Sixth Sense, The (1999)",5.0
u027,Star Wars: Episode IV - A New Hope (1977),5.0
u027,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
u027,Star Wars: Episode VI - Return of the Jedi (1983),5.0
u027,Terminator 2: Judgment Day (1991),4.0
u027,"Usual Suspects, The (1995)",5.0
u028,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",5.0
u028,American Beauty (1999),4.5
u028,American History X (1998),4.5
u028,Apollo 13 (1995),4.0
u028,Back to the Future (1985),4.0
u028,Braveheart (1995),4.5
u028,Casablanca (1942),4.5
u028,Dances with Wolves (1990),4.0
u028,Forrest Gump (1994),4.0
u028,"Fugitive, The (1993)",4.5
u028,"Godfather, The (1972)",4.5
u028,"Godfather: Part II, The (1974)",4.5
u028,"Matrix, The (1999)",5.0
u028,Mission: Impossible (1996),4.0
u028,One Flew Over the Cuckoo's Nest (1975),4.0
u028,Pulp Fiction (1994),4.5
u028,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.5
u028,Schindler's List (1993),4.5
u028,Seven (a.k.a. Se7en) (1995),4.5
u028,"Shawshank Redemption, The (1994)",5.0
u028,"Silence of the Lambs, The (1991)",4.5
u028,Star Wars: Episode IV - A New Hope (1977),5.0
u028,Star Wars: Episode V - The Empire Strikes Back (1980),4.5
u028,Star Wars: Episode VI - Return of the Jedi (1983),4.5
u028,Terminator 2: Judgment Day (1991),4.5
u028,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.5
u028,"Usual Suspects, The (1995)",4.5
u029,2001: A Space Odyssey (1968),4.0
u029,American Beauty (1999),5.0
u029,"Beautiful Mind, A (2001)",4.0
u029,"Clockwork Orange, A (1971)",5.0
u029,"Dark Knight, The (2008)",4.5
u029,Donnie Darko (2001),5.0
u029,Finding Nemo (2003),4.5
u029,"Incredibles, The (2004)",4.0
u029,Kill Bill: Vol. 1 (2003),5.0
u029,Memento (2000),4.0
u029,"Monsters, Inc. (2001)",4.0
u029,One Flew Over the Cuckoo's Nest (1975),5.0
u029,Pirates of the Caribbean: The Curse of the Black Pearl (2003),4.5
u029,Saving Private Ryan (1998),5.0
u029,Toy Story (1995),4.5
u029,"Truman Show, The (1998)",5.0
u030,Alien (1979),4.5
u030,Blade Runner (1982),4.0
u030,Casablanca (1942),4.0
u030,Die Hard (1988),4.0
u030,"Incredibles, The (2004)",4.0
u030,Indiana Jones and the Last Crusade (1989),4.5
